event,lon,lat,id,geo,datetime
12049660928,-79.609,62.579,128152,POINT (-79.60899999999999 62.579),2014-04-14 03:35:00.000
12049679302,-79.611,67.99,114508,POINT (-79.611 67.98999999999999),2014-08-01 07:42:00.000
12049654579,-79.617,67.583,128150,POINT (-79.617 67.583),2013-08-10 03:51:00.000
12049655948,-79.619,62.611,128150,POINT (-79.619 62.611),2014-03-31 03:30:00.000
12049661547,-79.62,64.218,128152,POINT (-79.62 64.218),2014-06-25 01:22:00.000
12049683950,-79.63,67.633,128150,POINT (-79.63 67.633),2014-07-19 07:39:00.000
12049654431,-79.631,67.056,128150,POINT (-79.631 67.056),2013-08-01 09:41:00.000
12049684933,-79.633,62.671,128151,POINT (-79.633 62.671),2014-05-02 11:52:00.000
12049680494,-79.633,64.097,128145,POINT (-79.633 64.09699999999999),2014-06-28 01:34:00.000
12049655835,-79.638,62.579,128150,POINT (-79.63800000000001 62.579),2014-01-24 01:08:00.000
12049655033,-79.639,68.815,128150,POINT (-79.639 68.815),2013-09-05 11:16:00.000
12049686107,-79.641,64.627,128151,POINT (-79.64100000000001 64.627),2014-12-25 15:27:00.000
12049684090,-79.646,68.024,128150,POINT (-79.646 68.024),2014-08-14 01:52:00.000
12049684082,-79.648,67.777,128150,POINT (-79.648 67.777),2014-08-12 07:46:00.000
12049654571,-79.651,67.591,128150,POINT (-79.651 67.59099999999999),2013-08-09 15:26:00.000
12049665297,-79.653,74.143,66353,POINT (-79.65300000000001 74.143),2006-11-15 11:23:00.000
12049683928,-79.655,68.826,128150,POINT (-79.655 68.82599999999999),2014-07-09 11:11:00.000
12049679289,-79.662,67.975,114508,POINT (-79.66200000000001 67.97499999999999),2014-07-30 22:10:00.000
12049654803,-79.664,67.772,128150,POINT (-79.664 67.77200000000001),2013-08-20 15:33:00.000
12049654427,-79.672,67.149,128150,POINT (-79.672 67.149),2013-07-31 19:37:00.000
12049679235,-79.674,67.925,114508,POINT (-79.67400000000001 67.925),2014-07-26 00:00:00.000
12049679312,-79.674,68.093,114508,POINT (-79.67400000000001 68.093),2014-08-01 21:25:00.000
12049654717,-79.677,67.749,128150,POINT (-79.67700000000001 67.749),2013-08-16 17:39:00.000
12049654455,-79.68,67.121,128150,POINT (-79.68000000000001 67.121),2013-08-03 01:49:00.000
12049681445,-79.68,69.004,128146,POINT (-79.68000000000001 69.004),2013-09-09 23:54:00.000
12049655993,-79.68,62.516,128150,POINT (-79.68000000000001 62.516),2014-04-14 09:18:00.000
12049654934,-79.685,69.265,128150,POINT (-79.685 69.265),2013-08-28 01:53:00.000
12049684946,-79.69,63.375,128151,POINT (-79.69 63.375),2014-05-08 23:25:00.000
12049661571,-79.691,64.312,128152,POINT (-79.691 64.312),2014-06-27 01:57:00.000
12049684084,-79.694,68.091,128150,POINT (-79.694 68.09099999999999),2014-08-13 13:49:00.000
12049684820,-79.703,62.809,128150,POINT (-79.703 62.809),2015-06-19 07:37:00.000
12049655074,-79.703,69.372,128150,POINT (-79.703 69.372),2013-09-08 15:15:00.000
12049683941,-79.713,67.929,128150,POINT (-79.71299999999999 67.929),2014-07-17 11:15:00.000
12049686616,-79.714,63.037,128151,POINT (-79.714 63.037),2015-06-22 23:49:00.000
12049654690,-79.717,67.711,128150,POINT (-79.717 67.711),2013-08-15 11:26:00.000
12049684102,-79.717,68.047,128150,POINT (-79.717 68.047),2014-08-14 15:16:00.000
12049684950,-79.718,63.366,128151,POINT (-79.718 63.366),2014-05-12 09:15:00.000
12049684969,-79.719,63.318,128151,POINT (-79.71899999999999 63.318),2014-05-22 07:40:00.000
12049684240,-79.721,69.12,128150,POINT (-79.721 69.12),2014-09-05 11:14:00.000
12049684203,-79.722,68.277,128150,POINT (-79.72199999999999 68.277),2014-08-29 08:03:00.000
12049681751,-79.724,68.397,128146,POINT (-79.724 68.39700000000001),2013-10-15 11:34:00.000
12049679331,-79.724,68.074,114508,POINT (-79.724 68.074),2014-08-03 13:49:00.000
12049655959,-79.725,62.556,128150,POINT (-79.72499999999999 62.556),2014-04-02 11:59:00.000
12049681662,-79.726,69.302,128146,POINT (-79.726 69.30200000000001),2013-10-05 01:16:00.000
12049686190,-79.726,62.514,128151,POINT (-79.726 62.514),2015-04-20 01:21:00.000
12049655020,-79.73,68.988,128150,POINT (-79.73 68.988),2013-09-04 09:56:00.000
12049685958,-79.733,64.081,128151,POINT (-79.733 64.081),2014-11-13 15:38:00.000
12049681432,-79.739,69.184,128146,POINT (-79.739 69.184),2013-09-08 23:18:00.000
12049654563,-79.741,67.546,128150,POINT (-79.741 67.54600000000001),2013-08-09 03:24:00.000
12049684129,-79.746,68.109,128150,POINT (-79.746 68.10899999999999),2014-08-17 01:27:00.000
12049680226,-79.748,62.761,128145,POINT (-79.748 62.761),2014-03-23 07:08:00.000
12049682012,-79.753,62.387,128146,POINT (-79.753 62.387),2014-01-08 01:36:00.000
12049686158,-79.754,62.516,128151,POINT (-79.754 62.516),2015-04-02 15:42:00.000
12049684020,-79.756,67.814,128150,POINT (-79.756 67.81399999999999),2014-08-01 17:26:00.000
12049680486,-79.757,64.204,128145,POINT (-79.75700000000001 64.20399999999999),2014-06-26 15:06:00.000
12049660932,-79.759,62.584,128152,POINT (-79.759 62.584),2014-04-14 15:48:00.000
12049684109,-79.761,68.03,128150,POINT (-79.761 68.03),2014-08-15 07:44:00.000
12049684191,-79.763,68.272,128150,POINT (-79.76300000000001 68.27200000000001),2014-08-25 03:39:00.000
12049686211,-79.774,61.199,128151,POINT (-79.774 61.199),2015-04-29 00:08:00.000
12049683906,-79.779,69.033,128150,POINT (-79.779 69.033),2014-07-06 09:19:00.000
12049654438,-79.782,67.054,128150,POINT (-79.782 67.054),2013-08-01 23:43:00.000
12049684958,-79.791,63.39,128151,POINT (-79.791 63.39),2014-05-18 01:42:00.000
12049683964,-79.796,67.606,128150,POINT (-79.79600000000001 67.60599999999999),2014-07-22 09:34:00.000
12049655310,-79.8,69.332,128150,POINT (-79.8 69.33199999999999),2013-10-06 09:26:00.000
12049684120,-79.81,68.008,128150,POINT (-79.81 68.008),2014-08-16 13:15:00.000
