event,id,lon,lat,datetime,geo
7980496671,LA1,16.19165751,-19.36879069,2009-03-04 18:40:00.000,POINT (16.19165751 -19.36879069)
7980496677,LA1,16.29613647,-19.37590535,2009-03-05 09:40:00.000,POINT (16.29613647 -19.37590535)
7980496681,LA1,16.42397257,-19.42075195,2009-03-05 18:00:00.000,POINT (16.42397257 -19.42075195)
7980496689,LA1,16.55171509,-19.41190796,2009-03-06 10:01:00.000,POINT (16.55171509 -19.41190796)
7980496702,LA1,16.60789083,-19.3133138,2009-03-07 10:20:00.000,POINT (16.60789083 -19.3133138)
7980496705,LA1,16.56207886,-19.22127075,2009-03-07 21:01:00.000,POINT (16.56207886 -19.22127075)
7980496724,LA1,16.44350891,-19.23061523,2009-03-09 19:41:00.000,POINT (16.44350891 -19.23061523)
7980496736,LA1,16.3432546,-19.23966675,2009-03-10 16:20:00.000,POINT (16.3432546 -19.23966675)
7980496741,LA1,16.21384074,-19.26504517,2009-03-11 00:00:00.000,POINT (16.21384074 -19.26504517)
7980496744,LA1,16.11047872,-19.26438192,2009-03-11 08:20:00.000,POINT (16.11047872 -19.26438192)
7980496750,LA1,15.99381917,-19.29373779,2009-03-11 21:21:00.000,POINT (15.99381917 -19.29373779)
7980496755,LA1,15.89095459,-19.27966105,2009-03-12 10:41:00.000,POINT (15.89095459 -19.27966105)
7980496775,LA1,15.75470988,-19.23276774,2009-03-14 13:41:00.000,POINT (15.75470988 -19.23276774)
7980496787,LA1,15.85089213,-19.2682373,2009-03-15 12:40:00.000,POINT (15.85089213 -19.2682373)
7980496806,LA1,15.7542216,-19.22762044,2009-03-17 11:41:00.000,POINT (15.7542216 -19.22762044)
7980496838,LA1,15.84116414,-19.2833313,2009-03-19 18:20:00.000,POINT (15.84116414 -19.2833313)
7980496840,LA1,15.95377909,-19.31740112,2009-03-19 22:01:00.000,POINT (15.95377909 -19.31740112)
7980496847,LA1,16.06063843,-19.33807576,2009-03-20 09:00:00.000,POINT (16.06063843 -19.33807576)
7980496863,LA1,15.94719645,-19.30247192,2009-03-21 18:40:00.000,POINT (15.94719645 -19.30247192)
7980496882,LA1,15.85696513,-19.25307821,2009-03-23 10:40:00.000,POINT (15.85696513 -19.25307821)
7980496891,LA1,15.73235779,-19.22355143,2009-03-24 15:41:00.000,POINT (15.73235779 -19.22355143)
7980496896,LA1,15.63379517,-19.2491272,2009-03-24 22:41:00.000,POINT (15.63379517 -19.2491272)
7980496899,LA1,15.50833028,-19.22318115,2009-03-25 03:41:00.000,POINT (15.50833028 -19.22318115)
7980496901,LA1,15.3871521,-19.17341715,2009-03-25 08:21:00.000,POINT (15.3871521 -19.17341715)
7980496908,LA1,15.25740763,-19.1784668,2009-03-25 15:01:00.000,POINT (15.25740763 -19.1784668)
7980496910,LA1,15.13151347,-19.18672689,2009-03-25 22:20:00.000,POINT (15.13151347 -19.18672689)
7980496914,LA1,15.04785156,-19.12647095,2009-03-26 11:41:00.000,POINT (15.04785156 -19.12647095)
7980496935,LA1,14.98014425,-19.2101888,2009-03-29 01:00:00.000,POINT (14.98014425 -19.2101888)
7980496939,LA1,14.86234945,-19.17372437,2009-03-30 00:21:00.000,POINT (14.86234945 -19.17372437)
7980496947,LA1,14.98646647,-19.14058228,2009-03-31 20:00:00.000,POINT (14.98646647 -19.14058228)
7980496962,LA1,15.09163513,-19.14617716,2009-04-01 23:01:00.000,POINT (15.09163513 -19.14617716)
7980497001,LA1,14.97483622,-19.128538,2009-04-05 23:20:00.000,POINT (14.97483622 -19.128538)
7980497010,LA1,15.09055583,-19.125295,2009-04-07 03:20:00.000,POINT (15.09055583 -19.125295)
7980497017,LA1,15.18756104,-19.19457194,2009-04-08 02:01:00.000,POINT (15.18756104 -19.19457194)
7980497023,LA1,15.30505066,-19.19420776,2009-04-08 17:00:00.000,POINT (15.30505066 -19.19420776)
7980497029,LA1,15.54660339,-19.23660685,2009-04-09 04:41:00.000,POINT (15.54660339 -19.23660685)
7980497030,LA1,15.70720723,-19.25979614,2009-04-09 13:21:00.000,POINT (15.70720723 -19.25979614)
7980497035,LA1,15.86634928,-19.2869283,2009-04-10 00:40:00.000,POINT (15.86634928 -19.2869283)
7980497038,LA1,15.97748617,-19.30811564,2009-04-10 04:40:00.000,POINT (15.97748617 -19.30811564)
7980497053,LA1,16.08936157,-19.30951131,2009-04-11 14:21:00.000,POINT (16.08936157 -19.30951131)
7980497058,LA1,15.97627462,-19.26552938,2009-04-12 01:21:00.000,POINT (15.97627462 -19.26552938)
7980497125,LA1,16.0901123,-19.30707804,2009-04-18 10:41:00.000,POINT (16.0901123 -19.30707804)
7980497179,LA1,16.18845927,-19.25606893,2009-04-23 09:41:00.000,POINT (16.18845927 -19.25606893)
7980497215,LA1,16.08514099,-19.28790487,2009-04-27 21:00:00.000,POINT (16.08514099 -19.28790487)
7980497231,LA1,15.97986145,-19.27198893,2009-04-29 12:41:00.000,POINT (15.97986145 -19.27198893)
7980497247,LA1,15.91113485,-19.18504232,2009-04-30 14:00:00.000,POINT (15.91113485 -19.18504232)
7980497251,LA1,15.81078186,-19.22015991,2009-05-01 07:40:00.000,POINT (15.81078186 -19.22015991)
7980497290,LA1,15.91586711,-19.18081868,2009-05-04 20:40:00.000,POINT (15.91586711 -19.18081868)
7980497297,LA1,15.77915141,-19.18036702,2009-05-05 23:00:00.000,POINT (15.77915141 -19.18036702)
7980497307,LA1,15.88309326,-19.16335449,2009-05-06 21:41:00.000,POINT (15.88309326 -19.16335449)
7980497667,LA1,15.80178426,-19.22189738,2009-06-07 18:01:00.000,POINT (15.80178426 -19.22189738)
7980497675,LA1,15.90365092,-19.18453979,2009-06-08 20:00:00.000,POINT (15.90365092 -19.18453979)
7980497704,LA1,15.80902507,-19.21761882,2009-06-10 23:00:00.000,POINT (15.80902507 -19.21761882)
7980497738,LA1,15.91594849,-19.18091431,2009-06-14 23:00:00.000,POINT (15.91594849 -19.18091431)
7980497747,LA1,15.82297567,-19.22098796,2009-06-15 08:41:00.000,POINT (15.82297567 -19.22098796)
7980497831,LA1,15.91595968,-19.18090413,2009-06-22 17:00:00.000,POINT (15.91595968 -19.18090413)
7980497836,LA1,15.82516683,-19.22306315,2009-06-23 05:40:00.000,POINT (15.82516683 -19.22306315)
7980497879,LA1,15.91595459,-19.18087565,2009-06-27 11:00:00.000,POINT (15.91595459 -19.18087565)
7980497889,LA1,15.82402242,-19.22128296,2009-06-28 05:01:00.000,POINT (15.82402242 -19.22128296)
7980497916,LA1,15.91595154,-19.18087158,2009-06-30 15:20:00.000,POINT (15.91595154 -19.18087158)
7980497920,LA1,15.82255554,-19.21988729,2009-07-01 06:00:00.000,POINT (15.82255554 -19.21988729)
7980497939,LA1,15.91590983,-19.18088786,2009-07-03 13:41:00.000,POINT (15.91590983 -19.18088786)
7980497947,LA1,15.78715312,-19.16596273,2009-07-04 12:01:00.000,POINT (15.78715312 -19.16596273)
7980497970,LA1,15.9159495,-19.18088175,2009-07-06 15:20:00.000,POINT (15.9159495 -19.18088175)
7980497987,LA1,15.81023458,-19.15408732,2009-07-08 15:40:00.000,POINT (15.81023458 -19.15408732)
7980498017,LA1,15.91596273,-19.18087769,2009-07-12 08:00:00.000,POINT (15.91596273 -19.18087769)
7980498032,LA1,15.82836812,-19.22967733,2009-07-13 06:20:00.000,POINT (15.82836812 -19.22967733)
7980498096,LA1,15.9159495,-19.18089803,2009-07-18 11:21:00.000,POINT (15.9159495 -19.18089803)
7980498107,LA1,15.8132253,-19.19822591,2009-07-19 02:41:00.000,POINT (15.8132253 -19.19822591)
7980498139,LA1,15.91589966,-19.18092244,2009-07-21 15:40:00.000,POINT (15.91589966 -19.18092244)
7980498172,LA1,15.8289388,-19.23569336,2009-07-24 18:21:00.000,POINT (15.8289388 -19.23569336)
7980498187,LA1,15.91593526,-19.18089803,2009-07-26 01:21:00.000,POINT (15.91593526 -19.18089803)
7980498211,LA1,15.78471883,-19.16700033,2009-07-28 03:41:00.000,POINT (15.78471883 -19.16700033)
7980498238,LA1,15.89733785,-19.18325195,2009-07-30 14:20:00.000,POINT (15.89733785 -19.18325195)
7980498248,LA1,15.80565084,-19.22343953,2009-07-31 19:20:00.000,POINT (15.80565084 -19.22343953)
7980498261,LA1,15.91415812,-19.17965698,2009-08-02 01:20:00.000,POINT (15.91415812 -19.17965698)
7980498283,LA1,15.81778259,-19.14735311,2009-08-03 15:21:00.000,POINT (15.81778259 -19.14735311)
7980498300,LA1,15.91596375,-19.18086955,2009-08-04 23:41:00.000,POINT (15.91596375 -19.18086955)
7980498311,LA1,15.81661275,-19.16327108,2009-08-06 07:41:00.000,POINT (15.81661275 -19.16327108)
7980498338,LA1,15.91598511,-19.18086548,2009-08-08 12:40:00.000,POINT (15.91598511 -19.18086548)
7980498341,LA1,15.80929464,-19.20620931,2009-08-09 01:01:00.000,POINT (15.80929464 -19.20620931)
7980498425,LA1,15.90503337,-19.17073364,2009-08-15 22:01:00.000,POINT (15.90503337 -19.17073364)
7980498437,LA1,15.799764,-19.13488973,2009-08-17 15:41:00.000,POINT (15.799764 -19.13488973)
7980498455,LA1,15.91593424,-19.1809082,2009-08-19 12:40:00.000,POINT (15.91593424 -19.1809082)
7980498494,LA1,15.83417765,-19.12270304,2009-08-23 23:01:00.000,POINT (15.83417765 -19.12270304)
7980498520,LA1,15.93576558,-19.16190592,2009-08-26 06:00:00.000,POINT (15.93576558 -19.16190592)
7980499115,LA1,15.89455668,-19.26123657,2009-10-18 10:40:00.000,POINT (15.89455668 -19.26123657)
7980499235,LA1,16.09784037,-19.27296956,2010-02-04 02:20:00.000,POINT (16.09784037 -19.27296956)
7980499261,LA1,16.18785706,-19.21045329,2010-02-06 09:20:00.000,POINT (16.18785706 -19.21045329)
7980499267,LA1,16.32045492,-19.28148397,2010-02-06 20:00:00.000,POINT (16.32045492 -19.28148397)
7980499271,LA1,16.45915731,-19.29131266,2010-02-07 11:21:00.000,POINT (16.45915731 -19.29131266)
7980533699,LA11,15.92143758,-19.18675537,2009-07-31 01:01:00.000,POINT (15.92143758 -19.18675537)
7980533715,LA11,16.0254425,-19.23315023,2009-08-01 01:01:00.000,POINT (16.0254425 -19.23315023)
7980533724,LA11,15.91996053,-19.19668172,2009-08-01 20:00:00.000,POINT (15.91996053 -19.19668172)
7980533756,LA11,15.81396179,-19.23365072,2009-08-05 02:20:00.000,POINT (15.81396179 -19.23365072)
7980533765,LA11,15.64241842,-19.23176066,2009-08-06 18:40:00.000,POINT (15.64241842 -19.23176066)
7980533767,LA11,15.51131897,-19.17252401,2009-08-07 01:40:00.000,POINT (15.51131897 -19.17252401)
7980533774,LA11,15.49584045,-19.0637736,2009-08-07 18:01:00.000,POINT (15.49584045 -19.0637736)
7980533775,LA11,15.50432536,-18.96032511,2009-08-07 23:40:00.000,POINT (15.50432536 -18.96032511)
7980533833,LA11,15.59001973,-18.84807129,2009-08-13 22:00:00.000,POINT (15.59001973 -18.84807129)
7980533846,LA11,15.62977702,-18.75569255,2009-08-15 04:00:00.000,POINT (15.62977702 -18.75569255)
7980533893,LA11,15.70824992,-18.82123617,2009-08-18 19:00:00.000,POINT (15.70824992 -18.82123617)
7980534223,LA11,15.59784444,-18.86302287,2009-09-19 10:20:00.000,POINT (15.59784444 -18.86302287)
7980534235,LA11,15.50354614,-18.97646891,2009-09-20 14:01:00.000,POINT (15.50354614 -18.97646891)
7980534253,LA11,15.53572591,-19.0719869,2009-09-22 16:00:00.000,POINT (15.53572591 -19.0719869)
7980534264,LA11,15.52715963,-19.17295939,2009-09-23 11:01:00.000,POINT (15.52715963 -19.17295939)
7980534275,LA11,15.64850566,-19.17769775,2009-09-24 07:21:00.000,POINT (15.64850566 -19.17769775)
7980534297,LA11,15.7679362,-19.16919963,2009-09-25 16:40:00.000,POINT (15.7679362 -19.16919963)
7980534300,LA11,15.97386983,-19.19472249,2009-09-26 02:00:00.000,POINT (15.97386983 -19.19472249)
7980534307,LA11,16.08227437,-19.18427938,2009-09-27 01:00:00.000,POINT (16.08227437 -19.18427938)
7980534324,LA11,15.98285522,-19.17106527,2009-09-28 22:01:00.000,POINT (15.98285522 -19.17106527)
7980534333,LA11,15.89428406,-19.22877401,2009-09-29 10:20:00.000,POINT (15.89428406 -19.22877401)
7980534343,LA11,16.07287394,-19.18240153,2009-09-30 21:00:00.000,POINT (16.07287394 -19.18240153)
7980534355,LA11,16.19301147,-19.20586955,2009-10-02 10:00:00.000,POINT (16.19301147 -19.20586955)
7980534369,LA11,15.99870402,-19.18975627,2009-10-03 19:21:00.000,POINT (15.99870402 -19.18975627)
7980534371,LA11,15.88634847,-19.23954264,2009-10-04 02:40:00.000,POINT (15.88634847 -19.23954264)
7980534412,LA11,15.98363342,-19.16897583,2009-10-08 10:01:00.000,POINT (15.98363342 -19.16897583)
7980534420,LA11,15.88958842,-19.20538127,2009-10-09 04:41:00.000,POINT (15.88958842 -19.20538127)
7980534434,LA11,15.9947642,-19.16368612,2009-10-10 13:00:00.000,POINT (15.9947642 -19.16368612)
7980534436,LA11,15.89418233,-19.2024821,2009-10-11 03:20:00.000,POINT (15.89418233 -19.2024821)
7980534496,LA11,15.79730021,-19.25853271,2009-10-17 18:01:00.000,POINT (15.79730021 -19.25853271)
7980534519,LA11,15.88186442,-19.20435181,2009-10-19 21:41:00.000,POINT (15.88186442 -19.20435181)
7980534540,LA11,15.84050598,-19.1101766,2009-10-22 17:01:00.000,POINT (15.84050598 -19.1101766)
7980534547,LA11,15.84925944,-19.20988973,2009-10-23 22:01:00.000,POINT (15.84925944 -19.20988973)
7980534553,LA11,15.9475118,-19.18929443,2009-10-24 18:21:00.000,POINT (15.9475118 -19.18929443)
7980534632,LA11,15.85027466,-19.1583252,2009-10-31 22:20:00.000,POINT (15.85027466 -19.1583252)
7980534724,LA11,15.74422099,-19.14427287,2009-11-08 00:01:00.000,POINT (15.74422099 -19.14427287)
7980534725,LA11,15.54344076,-18.99659424,2009-11-08 10:01:00.000,POINT (15.54344076 -18.99659424)
7980534732,LA11,15.56408386,-18.87424113,2009-11-09 00:00:00.000,POINT (15.56408386 -18.87424113)
7980534735,LA11,15.62334798,-18.7756897,2009-11-09 03:40:00.000,POINT (15.62334798 -18.7756897)
7980534838,LA11,15.7218455,-18.71962077,2009-11-18 10:40:00.000,POINT (15.7218455 -18.71962077)
7980534849,LA11,15.80677389,-18.659552,2009-11-19 16:00:00.000,POINT (15.80677389 -18.659552)
7980534896,LA11,15.76542053,-18.5492452,2009-11-22 19:41:00.000,POINT (15.76542053 -18.5492452)
7980534920,LA11,15.65794983,-18.56976929,2009-11-25 04:21:00.000,POINT (15.65794983 -18.56976929)
7980534924,LA11,15.6557312,-18.68127238,2009-11-25 15:20:00.000,POINT (15.6557312 -18.68127238)
7980534927,LA11,15.56892293,-18.7870341,2009-11-25 22:41:00.000,POINT (15.56892293 -18.7870341)
7980534937,LA11,15.70679728,-18.74163005,2009-11-26 23:41:00.000,POINT (15.70679728 -18.74163005)
